H2,CO,CO2,Methane,Acetylene,Ethylene,Ethane,Furan,Water,Acid,BDV,DDF1,DDF2,Color,IFT,HI
2.4,345.9,1491.7,5.8,0,1.1,2.3,0.34,1,0.005,94,0.006,0.001,0,33,88.0952381
26.4,209.6,2281.6,0,40.5,5.2,1.1,0.48,8,0.06,22,0.05,0.005,3,19,30.95238095
22.3,229.9,3089.4,2.2,41.8,8.1,3.5,1.39,7,0.025,82,0.041,0.001,3,19,26.19047619
7.7,169.2,3759.2,0,12.5,2.9,2,1.57,2,0.071,86,0.041,0.002,2,19,57.14285714
49.4,328.8,9063.5,178.4,0,9.2,232.1,0.04,15,0.005,74,0.003,0,0,30,64.28571429
35,299.7,8596.8,298.1,0,91.2,339.4,0.03,21,0.005,58,0.003,0,0,31,52.38095238
51.8,279.6,9586.4,132.7,0,6.8,178.7,0.04,8,0.005,75,0.023,0.001,0,29,64.28571429
43.7,286.4,9101.3,196,0,90.8,263.9,0.5,7,0.005,84,0.012,0.001,0,30,46.42857143
7.2,121.1,2345.4,29.1,17.1,118.5,29.9,1.29,3,0.043,67,0.042,0.003,3,19,26.19047619
7.7,121.8,2250.3,10.9,9.9,9.2,4.8,1.93,4,0.075,81,0.048,0.002,2,19,57.14285714
44.9,527.7,5666.5,4.4,0,3.5,3.5,1.1,2,0.055,80,0.036,0.002,3,19,50
15.4,263.8,4570.2,0,0,2.2,2.4,1.17,8,0.059,76,0.037,0.004,3,18,50
18,236.5,4712.9,8.2,24.2,33.9,9.6,0.84,11,0.061,72,0.034,0.003,3,18,44.04761905
12.7,608.3,1684.4,7.7,0,0.9,3.5,0,6,0.005,90.7,0.003,0,0,41,100
13.4,859.8,1759.8,24.5,0,1.9,4.9,0,7,0.005,23,0.004,0,0,32,85.71428571
16.8,348.4,3192.8,1.3,0,3,0.7,1.12,8,0.144,76,0.059,0.003,3,17,61.9047619
60.7,209.9,3671.7,79.4,0,33.7,126.1,0.01,6,0.005,90,0.008,0.001,0,32,64.28571429
52.8,197.1,2859.3,113.6,0,59.4,139.1,0,7,0.005,47.5,0.004,0,0,32,64.28571429
44.6,510.1,1677.9,12.1,0,1.1,4.3,0,6,0.005,88.5,0.002,0,0,32,100
25.2,335.9,1450.8,0,0,0.8,2.1,0.01,3,0.005,85.2,0.004,0,0,34,100
24.2,374.7,1932,0,0,2.7,5.1,0,3,0.005,94,0.004,0,0,34,100
14.6,530.7,4888.4,4.6,0,1.2,3.3,0.82,1,0.018,66,0.023,0.002,3,22,55.95238095
13.4,436.8,3927.6,5.5,0,0.8,2.4,0.67,1,0.065,86,0.018,0.003,3.5,22,67.85714286
13,763.4,3093,8.3,0,1.2,2.4,0.01,1,0.005,78,0.002,0,0,35,100
11.5,744.2,3415.9,8.6,0,1,2,0.01,3,0.005,82,0.004,0,0,35,100
16.3,1205.7,4986,15.9,0.6,1.1,3.8,0.01,8,0.005,67,0.002,0,0,37,88.0952381
16.3,1207.8,5318.4,14,0,0.7,3.2,0.01,6,0.005,60,0.002,0,0,36,88.0952381
24.5,797.1,4215.6,26.8,0,2.8,19.1,0.01,3,0.005,97,0.002,0,1,32,88.0952381
15.1,533.7,3852.2,27.6,0,2.2,24,0.01,1,0.005,90,0.004,0,0,31,88.0952381
21.4,732.6,3554.7,34.2,0,3.3,20.6,0,3,0.005,66,0.002,0,1,32,88.0952381
16.6,450.8,3412,42,0,2.6,32,0,2,0.005,54,0.002,0,1,33,100
